time,accX,accY,accZ,gyrX,gyrY,gyrZ,accX_cal,accY_cal,accZ_cal,gyrX_cal,gyrY_cal,gyrZ_cal,Roll,Pitch,pose,X,Y
2023-01-19 01:17:05 +0000,-0.92236328125,-0.236572265625,0.24609375,-2.8244274809160306,-1.1450381679389312,-3.84732824427481,-0.99985595703125,-0.001119384765625,0.000601806640625,-1.2499236641221383,-1.4225190839694657,-3.219770992366412,-0.0863848281200288,0.2404713852364627,other,0.033286788,0.07699589
2023-01-19 01:17:05 +0000,-0.922607421875,-0.237060546875,0.246826171875,-3.0381679389312977,-1.3587786259541983,-4.198473282442748,-1.00010009765625,-0.001607666015625,0.001334228515625,-1.4636641221374054,-1.636259541984733,-3.570916030534351,-0.1682994375180201,0.4710376158277423,other,0.02928906,0.07541252
2023-01-19 01:17:05 +0000,-0.922607421875,-0.237548828125,0.247802734375,-3.114503816793893,-1.4351145038167938,-4.33587786259542,-1.00010009765625,-0.002095947265625,0.002310791015625,-1.5400000000000007,-1.7125954198473283,-3.708320610687023,-0.239788058726127,0.6892706717712026,other,0.02928906,0.07541252
2023-01-19 01:17:05 +0000,-0.921875,-0.23876953125,0.247802734375,-3.0839694656488548,-1.4198473282442747,-4.33587786259542,-0.99936767578125,-0.003316650390625,0.002310791015625,-1.5094656488549625,-1.6973282442748092,-3.708320610687023,-0.308464547022345,0.8978901180483039,other,0.02928906,0.07541252
2023-01-19 01:17:05 +0000,-0.921142578125,-0.239990234375,0.248291015625,-2.992366412213741,-1.297709923664122,-4.152671755725191,-0.99863525390625,-0.004537353515625,0.002799072265625,-1.4178625954198485,-1.5751908396946566,-3.525114503816793,-0.3597221649035319,1.0824821890062817,other,0.02928906,0.07541252
2023-01-19 01:17:05 +0000,-0.919677734375,-0.2421875,0.2470703125,-2.763358778625954,-1.0381679389312977,-3.877862595419847,-0.99717041015625,-0.006734619140625,0.001578369140625,-1.188854961832062,-1.315648854961832,-3.25030534351145,-0.3994499800644073,1.2464549913359009,other,0.02928906,0.07541252
2023-01-19 01:17:05 +0000,-0.919189453125,-0.243408203125,0.246826171875,-2.5801526717557253,-0.8396946564885496,-3.6793893129770994,-0.99668212890625,-0.007955322265625,0.001334228515625,-1.005648854961833,-1.1171755725190842,-3.051832061068702,-0.4233663943919778,1.3881827289957016,other,0.02294551,0.07132381
2023-01-19 01:17:05 +0000,-0.918212890625,-0.24462890625,0.247802734375,-2.3969465648854964,-0.5190839694656488,-3.435114503816794,-0.99570556640625,-0.009176025390625,0.002310791015625,-0.8224427480916041,-0.7965648854961833,-2.807557251908397,-0.41195081086752,1.505543817089495,other,0.02294551,0.07132381
2023-01-19 01:17:05 +0000,-0.91845703125,-0.24560546875,0.24853515625,-2.33587786259542,-0.3816793893129771,-3.312977099236641,-0.99594970703125,-0.010152587890625,0.003043212890625,-0.7613740458015277,-0.6591603053435117,-2.685419847328244,-0.3873357303048495,1.609065722033454,other,0.02294551,0.07132381
2023-01-19 01:17:05 +0000,-0.9189453125,-0.246337890625,0.248046875,-2.351145038167939,-0.2748091603053435,-3.1297709923664123,-0.99643798828125,-0.010885009765625,0.002554931640625,-0.7766412213740466,-0.552290076335878,-2.502213740458015,-0.3628276438249227,1.692425944434882,other,0.02294551,0.07132381
