time,accX,accY,accZ,gyrX,gyrY,gyrZ,accX_cal,accY_cal,accZ_cal,gyrX_cal,gyrY_cal,gyrZ_cal,Roll,Pitch,pose,X,Y
2023-01-23 00:38:06 +0000,-0.95703125,-0.103759765625,0.193359375,-2.5801526717557253,0.12213740458015267,-0.07633587786259542,-0.99830810546875,-0.0031909179687499983,0.0025354003906249978,-0.3765648854961836,0.173969465648855,0.6812213740458015,0.05788963680293731, 0.0112950316062599,center,0.011485439,0.026391208
2023-01-23 00:38:06 +0000,-0.958251953125,-0.10302734375,0.1923828125,-1.8473282442748091,0.030534351145038167,-0.32061068702290074,-0.99952880859375,-0.0024584960937499983,0.0015588378906249978,0.35625954198473253,0.08236641221374048,0.4369465648854962,0.07193819153017376, 0.010981535265633995,center,0.011485439,0.026391208
2023-01-23 00:38:06 +0000,-0.95947265625,-0.100830078125,0.192138671875,-1.4198473282442747,-0.04580152671755725,-0.44274809160305345,-1.00074951171875,-0.00026123046874999833,0.0013146972656249978,0.7837404580152669,0.0060305343511450615,0.3148091603053435,0.07311610352357831, -0.013004061726860385,center,0.011485439,0.026391208
2023-01-23 00:38:06 +0000,-0.9599609375,-0.09912109375,0.1923828125,-0.9923664122137404,-0.16793893129770993,-0.5801526717557252,-1.00123779296875,0.0014477539062500017,0.0015588378906249978,1.211221374045801,-0.11610687022900762,0.1774045801526718,0.06666787208267488, -0.04045742365328712,center,0.012862463,0.027158411
2023-01-23 00:38:06 +0000,-0.95947265625,-0.09716796875,0.192138671875,-0.8854961832061069,-0.183206106870229,-0.6106870229007634,-1.00074951171875,0.0034008789062500017,0.0013146972656249978,1.3180916030534346,-0.1313740458015267,0.14687022900763358,0.057215710113929966, -0.07880983838977926,center,0.012862463,0.027158411
2023-01-23 00:38:06 +0000,-0.959228515625,-0.095947265625,0.19091796875,-1.0229007633587786,-0.16793893129770993,-0.6412213740458015,-1.00050537109375,0.004621582031250002,9.399414062499778e-05,1.180687022900763,-0.11610687022900762,0.11633587786259547,0.03925760724008559, -0.11793058444761063,center,0.012862463,0.027158411
2023-01-23 00:38:06 +0000,-0.958984375,-0.094970703125,0.191162109375,-1.3129770992366412,-0.15267175572519084,-0.6564885496183206,-1.00026123046875,0.005598144531250002,0.0003381347656249978,0.8906106870229005,-0.10083969465648854,0.10106870229007636,0.027708757443104994, -0.15680148456703788,center,0.012862463,0.027158411
2023-01-23 00:38:06 +0000,-0.95849609375,-0.095458984375,0.19189453125,-1.5877862595419847,-0.0916030534351145,-0.732824427480916,-0.99977294921875,0.005109863281250002,0.0010705566406249978,0.615801526717557,-0.03977099236641219,0.024732824427480926,0.02911775253423415, -0.17839575983860445,center,0.012862463,0.027158411
2023-01-23 00:38:06 +0000,-0.958251953125,-0.096435546875,0.193115234375,-1.8473282442748091,-0.030534351145038167,-0.8549618320610687,-0.99952880859375,0.004133300781250002,0.0022912597656249978,0.35625954198473253,0.021297709923664147,-0.09740458015267173,0.04512384583478217, -0.1781179622116349,center,0.013271441,0.029413288
2023-01-23 00:38:06 +0000,-0.95849609375,-0.09765625,0.193115234375,-2.0763358778625953,-0.015267175572519083,-0.916030534351145,-0.99977294921875,0.0029125976562500017,0.0022912597656249978,0.12725190839694633,0.03656488549618323,-0.15847328244274805,0.05994199151001146, -0.16289617931315198,center,0.013271441,0.029413288
2023-01-23 00:38:06 +0000,-0.95849609375,-0.099609375,0.193359375,-2.122137404580153,-0.015267175572519083,-1.0076335877862594,-0.99977294921875,0.0009594726562500017,0.0025354003906249978,0.08145038167938878,0.03656488549618323,-0.2500763358778625,0.07444080990692778, -0.12688339938099535,center,0.013271441,0.029413288
2023-01-23 00:38:06 +0000,-0.958740234375,-0.099853515625,0.193603515625,-2.045801526717557,-0.04580152671755725,-1.0381679389312977,-1.00001708984375,0.0007153320312500017,0.0027795410156249978,0.15778625954198455,0.0060305343511450615,-0.2806106870229007,0.08605767512241322, -0.09125510277916103,center,0.013271441,0.029413288
2023-01-23 00:38:06 +0000,-0.95849609375,-0.099609375,0.19287109375,-1.984732824427481,-0.0916030534351145,-1.0229007633587786,-0.99977294921875,0.0009594726562500017,0.0020471191406249978,0.21885496183206077,-0.03977099236641219,-0.2653435114503816,0.08663744384498259, -0.06346039817690857,center,0.013271441,0.029413288
2023-01-23 00:38:06 +0000,-0.9580078125,-0.099853515625,0.193359375,-1.816793893129771,-0.07633587786259542,-0.9770992366412213,-0.99928466796875,0.0007153320312500017,0.0025354003906249978,0.38679389312977075,-0.02450381679389311,-0.21954198473282438,0.0920331989915947, -0.041442470230273774,center,0.013402214,0.028357752
2023-01-23 00:38:06 +0000,-0.958251953125,-0.09912109375,0.19287109375,-1.7557251908396947,0.0,-0.916030534351145,-0.99952880859375,0.0014477539062500017,0.0020471191406249978,0.44786259541984696,0.05183206106870231,-0.15847328244274805,0.09977984984463595, -0.03290813938000319,center,0.013402214,0.028357752
2023-01-23 00:38:06 +0000,-0.9580078125,-0.098876953125,0.193115234375,-1.7251908396946565,0.0916030534351145,-0.7938931297709924,-0.99928466796875,0.0016918945312500017,0.0022912597656249978,0.4783969465648852,0.14343511450381682,-0.0363358778625954,0.11630854760300448, -0.037861814825658494,center,0.013402214,0.028357752
2023-01-23 00:38:06 +0000,-0.95849609375,-0.099365234375,0.19189453125,-1.786259541984733,0.13740458015267176,-0.7786259541984732,-0.99977294921875,0.0012036132812500017,0.0010705566406249978,0.41732824427480875,0.18923664122137407,-0.02106870229007629,0.12589875948994775, -0.03995046269867422,center,0.013402214,0.028357752
